gene_id	Symbol	Class
ENSMUSG00000027719	ADAD1	2_Deaminase
ENSMUSG00000024266	ADAD2	2_Deaminase
ENSMUSG00000027951	ADAR	2_Deaminase
ENSMUSG00000020262	ADARB1	2_Deaminase
ENSMUSG00000052551	ADARB2	2_Deaminase
ENSMUSG00000031949	ADAT1	2_Deaminase
ENSMUSG00000019808	ADAT2	2_Deaminase
ENSMUSG00000035370	ADAT3	2_Deaminase
ENSMUSG00000079036	ALKBH1	7_Eraser
ENSMUSG00000044339	ALKBH2	7_Eraser
ENSMUSG00000040174	ALKBH3	7_Eraser
ENSMUSG00000042650	ALKBH5	7_Eraser
ENSMUSG00000025899	ALKBH8	1_Methylase
ENSMUSG00000040613	APOBEC1	2_Deaminase
ENSMUSG00000037525	BCDIN3D	1_Methylase
ENSMUSG00000005378	BUD23	1_Methylase
ENSMUSG00000020659	CBLL1	5_Subunit
ENSMUSG00000027487	CDK5RAP1	4_OthertRNA
ENSMUSG00000006191	CDKAL1	4_OthertRNA
ENSMUSG00000003662	CIAO1	4_OthertRNA
ENSMUSG00000024019	CMTR1	1_Methylase
ENSMUSG00000046441	CMTR2	1_Methylase
ENSMUSG00000038888	CTU1	4_OthertRNA
ENSMUSG00000049482	CTU2	4_OthertRNA
ENSMUSG00000021692	DIMT1	1_Methylase
ENSMUSG00000031403	DKC1	3_Pseudouridylase
ENSMUSG00000031901	DUS2	4_OthertRNA
ENSMUSG00000024991	EIF3A	6_Reader
ENSMUSG00000028431	ELP1	4_OthertRNA
ENSMUSG00000022031	ELP3	4_OthertRNA
ENSMUSG00000027167	ELP4	4_OthertRNA
ENSMUSG00000018565	ELP5	4_OthertRNA
ENSMUSG00000004268	EMG1	1_Methylase
ENSMUSG00000046865	FBL	1_Methylase
ENSMUSG00000051062	FBLL1	1_Methylase
ENSMUSG00000055932	FTO	7_Eraser
ENSMUSG00000031171	FTSJ1	1_Methylase
ENSMUSG00000020706	FTSJ3	1_Methylase
ENSMUSG00000007610	GTPBP3	4_OthertRNA
ENSMUSG00000045662	HENMT1	1_Methylase
ENSMUSG00000004980	HNRNPA2B1	6_Reader
ENSMUSG00000060373	HNRNPC	6_Reader
ENSMUSG00000025260	HSD17B10	4_OthertRNA
ENSMUSG00000025825	ISCU	4_OthertRNA
ENSMUSG00000056962	JMJD6	7_Eraser
ENSMUSG00000015289	LAGE3	4_OthertRNA
ENSMUSG00000074890	LCMT2	1_Methylase
ENSMUSG00000029726	MEPCE	1_Methylase
ENSMUSG00000006732	METTL1	1_Methylase
ENSMUSG00000028114	METTL14	5_Subunit
ENSMUSG00000057234	METTL15	1_Methylase
ENSMUSG00000010554	METTL16	1_Methylase
ENSMUSG00000004561	METTL17	1_Methylase
ENSMUSG00000040557	METTL27	1_Methylase
ENSMUSG00000020691	METTL2A	1_Methylase
ENSMUSG00000022160	METTL3	1_Methylase
ENSMUSG00000055660	METTL4	1_Methylase
ENSMUSG00000051730	METTL5	1_Methylase
ENSMUSG00000021891	METTL6	1_Methylase
ENSMUSG00000041975	METTL8	1_Methylase
ENSMUSG00000030876	METTL9	1_Methylase
ENSMUSG00000074576	MOCS3	4_OthertRNA
ENSMUSG00000071711	MPST	4_OthertRNA
ENSMUSG00000018405	MRM1	1_Methylase
ENSMUSG00000029557	MRM2	1_Methylase
ENSMUSG00000038046	MRM3	1_Methylase
ENSMUSG00000032342	MTO1	4_OthertRNA
ENSMUSG00000027185	NAT10	4_OthertRNA
ENSMUSG00000027618	NFS1	4_OthertRNA
ENSMUSG00000021595	NSUN2	1_Methylase
ENSMUSG00000050312	NSUN3	1_Methylase
ENSMUSG00000028706	NSUN4	1_Methylase
ENSMUSG00000000916	NSUN5	1_Methylase
ENSMUSG00000026707	NSUN6	1_Methylase
ENSMUSG00000029206	NSUN7	1_Methylase
ENSMUSG00000022503	NUBP1	4_OthertRNA
ENSMUSG00000006289	OSGEP	4_OthertRNA
ENSMUSG00000026096	OSGEPL1	4_OthertRNA
ENSMUSG00000039849	PCIF1	1_Methylase
ENSMUSG00000029507	PUS1	3_Pseudouridylase
ENSMUSG00000020280	PUS10	3_Pseudouridylase
ENSMUSG00000032103	PUS3	3_Pseudouridylase
ENSMUSG00000057541	PUS7	3_Pseudouridylase
ENSMUSG00000033356	PUS7L	3_Pseudouridylase
ENSMUSG00000051557	PUSL1	3_Pseudouridylase
ENSMUSG00000002825	QTRT1	4_OthertRNA
ENSMUSG00000048109	RBM15	5_Subunit
ENSMUSG00000074102	RBM15B	5_Subunit
ENSMUSG00000009535	RNMT	1_Methylase
ENSMUSG00000041199	RPUSD1	3_Pseudouridylase
ENSMUSG00000027324	RPUSD2	3_Pseudouridylase
ENSMUSG00000051169	RPUSD3	3_Pseudouridylase
ENSMUSG00000032044	RPUSD4	3_Pseudouridylase
ENSMUSG00000030888	RRP8	1_Methylase
ENSMUSG00000030839	SERGEF	4_OthertRNA
ENSMUSG00000039660	SPOUT1	1_Methylase
ENSMUSG00000090290	TARBP1	1_Methylase
ENSMUSG00000036983	TFB1M	1_Methylase
ENSMUSG00000026492	TFB2M	1_Methylase
ENSMUSG00000028233	TGS1	1_Methylase
ENSMUSG00000011254	THG1L	4_OthertRNA
ENSMUSG00000030942	THUMPD1	4_OthertRNA
ENSMUSG00000024246	THUMPD2	1_Methylase
ENSMUSG00000030264	THUMPD3	1_Methylase
ENSMUSG00000039725	TP53RKA	4_OthertRNA
ENSMUSG00000042854	TP53RKB	4_OthertRNA
ENSMUSG00000054226	TPRKB	4_OthertRNA
ENSMUSG00000026723	TRDMT1	1_Methylase
ENSMUSG00000028653	TRIT1	4_OthertRNA
ENSMUSG00000028331	TRMO	1_Methylase
ENSMUSG00000001909	TRMT1	1_Methylase
ENSMUSG00000004127	TRMT10A	1_Methylase
ENSMUSG00000035601	TRMT10B	1_Methylase
ENSMUSG00000044763	TRMT10C	1_Methylase
ENSMUSG00000019792	TRMT11	1_Methylase
ENSMUSG00000038812	TRMT112	5_Subunit
ENSMUSG00000037085	TRMT12	1_Methylase
ENSMUSG00000033439	TRMT13	1_Methylase
ENSMUSG00000053286	TRMT1L	1_Methylase
ENSMUSG00000022721	TRMT2A	1_Methylase
ENSMUSG00000067369	TRMT2B	1_Methylase
ENSMUSG00000029097	TRMT44	1_Methylase
ENSMUSG00000034442	TRMT5	1_Methylase
ENSMUSG00000037376	TRMT6	5_Subunit
ENSMUSG00000060950	TRMT61A	1_Methylase
ENSMUSG00000039620	TRMT9B	1_Methylase
ENSMUSG00000022386	TRMU	4_OthertRNA
ENSMUSG00000025086	TRUB1	3_Pseudouridylase
ENSMUSG00000039826	TRUB2	3_Pseudouridylase
ENSMUSG00000047583	TYW3	1_Methylase
ENSMUSG00000040720	VIRMA	5_Subunit
ENSMUSG00000024037	WDR4	5_Subunit
ENSMUSG00000066357	WDR6	4_OthertRNA
ENSMUSG00000060475	WTAP	5_Subunit
ENSMUSG00000028889	YRDC	4_OthertRNA
ENSMUSG00000035851	YTHDC1	6_Reader
ENSMUSG00000034653	YTHDC2	6_Reader
ENSMUSG00000038848	YTHDF1	6_Reader
ENSMUSG00000040025	YTHDF2	6_Reader
ENSMUSG00000047213	YTHDF3	6_Reader
ENSMUSG00000022000	ZC3H13	5_Subunit
ENSMUSG00000029179	ZCCHC4	1_Methylase
